GO Term ID	Name	Namespace	log(Odds Ratio)	Statistical significance
GO:1905368	Peptidase complex	Cellular Component	0.237	6.19756e-3
GO:0099529	Neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	Molecular Function	2.587	6.19756e-3
GO:0048583	Regulation of response to stimulus	Biological Process	0.441	6.19756e-3
GO:0030334	Regulation of cell migration	Biological Process	1.131	9.41440e-3
GO:0006195	Purine nucleotide catabolic process	Biological Process	0.261	6.19756e-3
GO:0048029	Monosaccharide binding	Molecular Function	1.493	6.19756e-3
GO:0003073	Regulation of systemic arterial blood pressure	Biological Process	1.423	6.19756e-3
GO:0005741	Mitochondrial outer membrane	Cellular Component	0.862	6.19756e-3
GO:0032271	Regulation of protein polymerization	Biological Process	0.677	9.41440e-3
GO:0006949	Syncytium formation	Biological Process	1.613	1.32095e-2
GO:0004935	Adrenergic receptor activity	Molecular Function	2.242	6.19756e-3
GO:0046467	Membrane lipid biosynthetic process	Biological Process	0.458	1.96523e-2
GO:0005539	Glycosaminoglycan binding	Molecular Function	1.206	6.19756e-3
GO:0031490	Chromatin DNA binding	Molecular Function	1.700	9.41440e-3
GO:0005891	Voltage-gated calcium channel complex	Cellular Component	2.524	9.41440e-3
GO:0034762	Regulation of transmembrane transport	Biological Process	0.619	6.19756e-3
GO:0030659	Cytoplasmic vesicle membrane	Cellular Component	0.218	6.19756e-3
GO:0015355	Secondary active monocarboxylate transmembrane transporter activity	Molecular Function	3.167	6.19756e-3
GO:0140253	Cell-cell fusion	Biological Process	1.640	1.32095e-2
GO:0010975	Regulation of neuron projection development	Biological Process	0.847	1.64409e-2
GO:0005085	Guanyl-nucleotide exchange factor activity	Molecular Function	1.216	1.96523e-2
GO:0050770	Regulation of axonogenesis	Biological Process	1.309	6.19756e-3
GO:0008080	N-acetyltransferase activity	Molecular Function	1.757	6.19756e-3
GO:0098796	Membrane protein complex	Cellular Component	0.691	1.64409e-2
GO:0000151	Ubiquitin ligase complex	Cellular Component	0.254	6.19756e-3
GO:0035239	Tube morphogenesis	Biological Process	1.164	2.25945e-2
GO:0060284	Regulation of cell development	Biological Process	0.244	6.19756e-3
GO:0030834	Regulation of actin filament depolymerization	Biological Process	0.654	9.41440e-3
GO:0022603	Regulation of anatomical structure morphogenesis	Biological Process	1.078	6.19756e-3
GO:0007601	Visual perception	Biological Process	0.628	6.19756e-3
GO:0050920	Regulation of chemotaxis	Biological Process	1.614	6.19756e-3
GO:1903350	Response to dopamine	Biological Process	1.201	6.19756e-3
GO:0099525	Presynaptic dense core vesicle exocytosis	Biological Process	0.246	6.19756e-3
GO:0071560	Cellular response to transforming growth factor beta stimulus	Biological Process	1.017	1.64409e-2
GO:0006493	Protein O-linked glycosylation	Biological Process	0.690	4.70720e-2
GO:1990869	Cellular response to chemokine	Biological Process	0.984	3.41455e-2
GO:0038007	Netrin-activated signaling pathway	Biological Process	1.691	6.19756e-3
GO:0034483	Heparan sulfate sulfotransferase activity	Molecular Function	3.402	6.19756e-3
GO:0008305	Integrin complex	Cellular Component	0.910	2.55335e-2
GO:0015378	Sodium:chloride symporter activity	Molecular Function	1.793	2.25945e-2
GO:0019229	Regulation of vasoconstriction	Biological Process	1.632	1.32095e-2
GO:0003044	Regulation of systemic arterial blood pressure mediated by a chemical signal	Biological Process	1.535	6.19756e-3
GO:0071383	Cellular response to steroid hormone stimulus	Biological Process	0.885	3.41455e-2
GO:0009261	Ribonucleotide catabolic process	Biological Process	0.262	6.19756e-3
GO:0050793	Regulation of developmental process	Biological Process	0.703	9.41440e-3
GO:0098794	Postsynapse	Cellular Component	1.541	6.19756e-3
GO:0048729	Tissue morphogenesis	Biological Process	1.103	6.19756e-3
GO:0031965	Nuclear membrane	Cellular Component	0.455	6.19756e-3
GO:0030203	Glycosaminoglycan metabolic process	Biological Process	1.648	6.19756e-3
GO:0030178	Negative regulation of Wnt signaling pathway	Biological Process	0.618	2.83444e-2
GO:0016082	Synaptic vesicle priming	Biological Process	2.088	1.64409e-2
GO:0010494	Cytoplasmic stress granule	Cellular Component	0.621	3.14368e-2
GO:0042310	Vasoconstriction	Biological Process	1.762	6.19756e-3
GO:0030832	Regulation of actin filament length	Biological Process	0.649	2.25945e-2
GO:2000181	Negative regulation of blood vessel morphogenesis	Biological Process	1.576	9.41440e-3
GO:0004629	Phospholipase C activity	Molecular Function	2.003	6.19756e-3
GO:0033500	Carbohydrate homeostasis	Biological Process	1.490	6.19756e-3
GO:0031461	Cullin-RING ubiquitin ligase complex	Cellular Component	0.524	6.19756e-3
GO:0046488	Phosphatidylinositol metabolic process	Biological Process	0.374	6.19756e-3
GO:0016459	Myosin complex	Cellular Component	1.348	4.19956e-2
GO:0046513	Ceramide biosynthetic process	Biological Process	0.846	2.25945e-2
GO:0005283	Amino acid:sodium symporter activity	Molecular Function	1.673	2.55335e-2
GO:0070098	Chemokine-mediated signaling pathway	Biological Process	1.027	2.25945e-2
GO:0031234	Extrinsic component of cytoplasmic side of plasma membrane	Cellular Component	0.414	1.64409e-2
GO:0009134	Nucleoside diphosphate catabolic process	Biological Process	0.643	1.96523e-2
GO:0098969	Neurotransmitter receptor transport to postsynaptic membrane	Biological Process	0.625	2.55335e-2
GO:0002690	Positive regulation of leukocyte chemotaxis	Biological Process	1.728	6.19756e-3
GO:0004175	Endopeptidase activity	Molecular Function	0.690	6.19756e-3
GO:0036293	Response to decreased oxygen levels	Biological Process	1.132	6.19756e-3
GO:0008328	Ionotropic glutamate receptor complex	Cellular Component	2.415	6.19756e-3
GO:0046034	ATP metabolic process	Biological Process	0.586	9.41440e-3
GO:0044272	Sulfur compound biosynthetic process	Biological Process	0.857	1.64409e-2
GO:0000122	Negative regulation of transcription by RNA polymerase II	Biological Process	0.638	6.19756e-3
GO:0008378	Galactosyltransferase activity	Molecular Function	1.414	2.25945e-2
GO:0099094	Ligand-gated monoatomic cation channel activity	Molecular Function	1.500	4.45706e-2
GO:0051093	Negative regulation of developmental process	Biological Process	1.443	2.25945e-2
GO:0006641	Triglyceride metabolic process	Biological Process	2.147	2.25945e-2
GO:0032869	Cellular response to insulin stimulus	Biological Process	1.586	6.19756e-3
GO:0035235	Ionotropic glutamate receptor signaling pathway	Biological Process	1.328	1.96523e-2
GO:0016407	Acetyltransferase activity	Molecular Function	1.066	1.32095e-2
GO:0009636	Response to toxic substance	Biological Process	1.047	6.19756e-3
GO:0005231	Excitatory extracellular ligand-gated monoatomic ion channel activity	Molecular Function	1.939	6.19756e-3
GO:1905360	GTPase complex	Cellular Component	1.180	6.19756e-3
GO:0046486	Glycerolipid metabolic process	Biological Process	0.896	6.19756e-3
GO:0040017	Positive regulation of locomotion	Biological Process	1.148	1.96523e-2
GO:0007043	Cell-cell junction assembly	Biological Process	2.069	6.19756e-3
GO:0008528	G protein-coupled peptide receptor activity	Molecular Function	1.982	6.19756e-3
GO:0009132	Nucleoside diphosphate metabolic process	Biological Process	0.732	6.19756e-3
GO:0060078	Regulation of postsynaptic membrane potential	Biological Process	2.048	6.19756e-3
GO:0008276	Protein methyltransferase activity	Molecular Function	1.002	3.92786e-2
GO:0002688	Regulation of leukocyte chemotaxis	Biological Process	1.611	6.19756e-3
GO:0006816	Calcium ion transport	Biological Process	1.476	9.41440e-3
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	Molecular Function	0.677	6.19756e-3
GO:0019200	Carbohydrate kinase activity	Molecular Function	1.367	6.19756e-3
GO:0043062	Extracellular structure organization	Biological Process	1.400	6.19756e-3
GO:0046032	ADP catabolic process	Biological Process	0.640	6.19756e-3
GO:0030426	Growth cone	Cellular Component	1.634	9.41440e-3
GO:0007193	Adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	Biological Process	1.340	1.64409e-2
GO:0008376	Acetylgalactosaminyltransferase activity	Molecular Function	1.549	1.32095e-2
GO:0000145	Exocyst	Cellular Component	0.728	2.25945e-2
GO:0022824	Transmitter-gated monoatomic ion channel activity	Molecular Function	2.393	6.19756e-3
GO:0006639	Acylglycerol metabolic process	Biological Process	1.739	6.19756e-3
GO:0007218	Neuropeptide signaling pathway	Biological Process	0.793	6.19756e-3
GO:0019904	Protein domain specific binding	Molecular Function	0.348	9.41440e-3
GO:0030551	Cyclic nucleotide binding	Molecular Function	0.811	2.55335e-2
GO:0098588	Bounding membrane of organelle	Cellular Component	0.266	1.64409e-2
GO:0042054	Histone methyltransferase activity	Molecular Function	1.246	6.19756e-3
GO:0034704	Calcium channel complex	Cellular Component	2.195	4.70720e-2
GO:0009986	Cell surface	Cellular Component	0.889	6.19756e-3
GO:0016757	Glycosyltransferase activity	Molecular Function	0.259	6.19756e-3
GO:0005581	Collagen trimer	Cellular Component	0.673	6.19756e-3
GO:0001755	Neural crest cell migration	Biological Process	1.599	6.19756e-3
GO:0016782	Transferase activity, transferring sulphur-containing groups	Molecular Function	0.786	6.19756e-3
GO:0033017	Sarcoplasmic reticulum membrane	Cellular Component	2.185	2.55335e-2
GO:0003013	Circulatory system process	Biological Process	1.254	6.19756e-3
GO:0009205	Purine ribonucleoside triphosphate metabolic process	Biological Process	0.445	9.41440e-3
GO:0046332	SMAD binding	Molecular Function	0.643	9.41440e-3
GO:0005102	Signaling receptor binding	Molecular Function	0.661	2.55335e-2
GO:0016051	Carbohydrate biosynthetic process	Biological Process	0.628	1.32095e-2
GO:0051693	Actin filament capping	Biological Process	0.718	1.32095e-2
GO:0006939	Smooth muscle contraction	Biological Process	0.684	6.19756e-3
GO:0120032	Regulation of plasma membrane bounded cell projection assembly	Biological Process	0.309	6.19756e-3
GO:0001653	Peptide receptor activity	Molecular Function	1.658	6.19756e-3
GO:0061157	MRNA destabilization	Biological Process	1.031	2.25945e-2
GO:0007266	Rho protein signal transduction	Biological Process	0.630	1.64409e-2
GO:0001678	Intracellular glucose homeostasis	Biological Process	1.392	6.19756e-3
GO:0005227	Calcium-activated cation channel activity	Molecular Function	2.359	1.32095e-2
GO:0036464	Cytoplasmic ribonucleoprotein granule	Cellular Component	0.658	3.92786e-2
GO:0060326	Cell chemotaxis	Biological Process	0.797	3.41455e-2
GO:0098636	Protein complex involved in cell adhesion	Cellular Component	0.899	1.96523e-2
GO:0051239	Regulation of multicellular organismal process	Biological Process	0.783	6.19756e-3
GO:0042127	Regulation of cell population proliferation	Biological Process	0.563	3.41455e-2
GO:0002684	Positive regulation of immune system process	Biological Process	2.259	9.41440e-3
